date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:25:11	76518/76518	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2212ae6-5a3542f146780%22	https://smart-school.in/assets/admin/assets/fonts/fontawesome-webfont.eot?v=4.7.0	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/fonts/fontawesome-webfont3e6e.eot	(from https://smart-school.in/assets/admin/assets/css/font-awesome.min.css)
15:25:11	46736/46736	---M--	200	added ('OK')	font/woff2	etag:%22b690-5a3542ef5e300%22	https://smart-school.in/assets/admin/assets/fonts/material.woff2	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/fonts/material.woff2	(from https://smart-school.in/assets/admin/assets/css/material-design.css)
15:25:11	71896/71896	---M--	200	added ('OK')	font/woff2	etag:%22118d8-5a3542ef5e300%22	https://smart-school.in/assets/admin/assets/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/fonts/fontawesome-webfont3e6e.woff2	(from https://smart-school.in/assets/admin/assets/css/font-awesome.min.css)
15:25:11	76518/76518	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2212ae6-5a3542f146780%22	https://smart-school.in/assets/admin/assets/fonts/fontawesome-webfont.eot?	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/fonts/fontawesome-webfontd41d.eot	(from https://smart-school.in/assets/admin/assets/css/font-awesome.min.css)
15:25:13	90412/90412	---M--	200	added ('OK')	font/woff	etag:%221612c-5a3542ef5e300%22	https://smart-school.in/assets/admin/assets/fonts/fontawesome-webfont.woff?v=4.7.0	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/fonts/fontawesome-webfont3e6e.woff	(from https://smart-school.in/assets/admin/assets/css/font-awesome.min.css)
15:25:13	152796/152796	---M--	200	added ('OK')	font/ttf	etag:%22254dc-5a3542ef5e300%22	https://smart-school.in/assets/admin/assets/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/fonts/fontawesome-webfont3e6e.ttf	(from https://smart-school.in/assets/admin/assets/css/font-awesome.min.css)
15:25:13	2895/2895	---M--	200	added ('OK')	image/png	etag:%22b4f-5897d6b8eef00%22	https://smart-school.in/assets/admin/assets/img/arrow-left.png	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/img/arrow-left.png	(from https://smart-school.in/assets/admin/assets/css/style.css)
15:25:14	1790/1790	---M--	200	added ('OK')	text/html	etag:%226fe-5897d6b336180%22	https://smart-school.in/assets/admin/assets/img/arrow-left.cur	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/img/arrow-left.html	(from https://smart-school.in/assets/admin/assets/css/style.css)
15:25:14	2923/2923	---M--	200	added ('OK')	image/png	etag:%22b6b-5897d6c460a00%22	https://smart-school.in/assets/admin/assets/img/arrow-right.png	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/img/arrow-right.png	(from https://smart-school.in/assets/admin/assets/css/style.css)
15:25:14	391622/391622	---M--	200	added ('OK')	image/svg+xml	etag:%225f9c6-5a3542f146780%22	https://smart-school.in/assets/admin/assets/fonts/fontawesome-webfont.svg?v=4.7.0	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/fonts/fontawesome-webfont3e6e.svg	(from https://smart-school.in/assets/admin/assets/css/font-awesome.min.css)
